#Firmware: MS3 1.5.1 release     20171006 16:30BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
1.0,1.0,0.0,1.0,2.14,70260.87
0.0,1.0,0.0,1.0,18.382,70279.25
1.0,1.0,0.0,1.0,11.905,70291.16
0.0,0.0,0.0,1.0,18.456,70309.61
1.0,0.0,0.0,1.0,11.878,70321.484
1.0,1.0,1.0,1.0,9.868,70331.35
0.0,1.0,0.0,1.0,8.572,70339.92
1.0,1.0,0.0,1.0,11.924,70351.84
0.0,0.0,0.0,1.0,18.679,70370.52
0.0,1.0,1.0,1.0,9.968,70380.49
1.0,1.0,0.0,1.0,2.186,70382.68
0.0,1.0,0.0,1.0,18.779,70401.46
1.0,1.0,0.0,1.0,12.178,70413.64
0.0,0.0,0.0,1.0,18.687,70432.33
1.0,0.0,0.0,1.0,11.922,70444.25
1.0,1.0,1.0,1.0,9.904,70454.16
0.0,1.0,0.0,1.0,8.56,70462.72
1.0,1.0,0.0,1.0,11.885,70474.6
0.0,0.0,0.0,1.0,18.586,70493.19
0.0,1.0,1.0,1.0,9.851,70503.04
1.0,1.0,0.0,1.0,2.158,70505.195
0.0,1.0,0.0,1.0,18.431,70523.625
1.0,1.0,0.0,1.0,11.912,70535.54
0.0,0.0,0.0,1.0,18.392,70553.93
1.0,0.0,0.0,1.0,11.792,70565.72
1.0,1.0,1.0,1.0,9.804,70575.52
0.0,1.0,0.0,1.0,8.596,70584.12
1.0,1.0,0.0,1.0,11.964,70596.08
0.0,0.0,0.0,1.0,18.698,70614.77
0.0,1.0,1.0,1.0,9.928,70624.7
1.0,1.0,0.0,1.0,2.175,70626.875
0.0,1.0,0.0,1.0,18.714,70645.586
1.0,1.0,0.0,1.0,12.19,70657.77
0.0,0.0,0.0,1.0,18.639,70676.414
1.0,0.0,0.0,1.0,11.887,70688.305
1.0,1.0,1.0,1.0,9.864,70698.17
0.0,1.0,0.0,1.0,8.5,70706.67
1.0,1.0,0.0,1.0,11.775,70718.445
0.0,0.0,0.0,1.0,18.434,70736.88
0.0,1.0,1.0,1.0,9.822,70746.7
1.0,1.0,0.0,1.0,2.15,70748.85
0.0,1.0,0.0,1.0,18.454,70767.305
1.0,1.0,0.0,1.0,11.943,70779.25
0.0,0.0,0.0,1.0,18.434,70797.69
1.0,0.0,0.0,1.0,11.797,70809.484
1.0,1.0,1.0,1.0,9.813,70819.3
0.0,1.0,0.0,1.0,8.503,70827.8
1.0,1.0,0.0,1.0,11.82,70839.62
0.0,0.0,0.0,1.0,18.394,70858.01
0.0,1.0,1.0,1.0,9.714,70867.72
1.0,1.0,0.0,1.0,2.121,70869.836
0.0,1.0,0.0,1.0,18.243,70888.08
1.0,1.0,0.0,1.0,11.811,70899.89
0.0,0.0,0.0,1.0,18.14,70918.03
1.0,0.0,0.0,1.0,11.578,70929.61
1.0,1.0,1.0,1.0,9.638,70939.25
0.0,1.0,0.0,1.0,8.397,70947.65
1.0,1.0,0.0,1.0,11.646,70959.3
0.0,0.0,0.0,1.0,18.273,70977.57
0.0,1.0,1.0,1.0,9.765,70987.336
1.0,1.0,0.0,1.0,2.138,70989.48
0.0,1.0,0.0,1.0,18.31,71007.79
1.0,1.0,0.0,1.0,11.839,71019.625
0.0,0.0,0.0,1.0,18.382,71038.01
1.0,0.0,0.0,1.0,11.844,71049.85
1.0,1.0,1.0,1.0,9.847,71059.695
0.0,1.0,0.0,1.0,8.517,71068.21
1.0,1.0,0.0,1.0,11.825,71080.04
0.0,0.0,0.0,1.0,18.562,71098.6
0.0,1.0,1.0,1.0,9.919,71108.52
1.0,1.0,0.0,1.0,2.175,71110.695
